   _____ _                  _____ _____             _____                     _     
  / ____(_)           /\   |  __ \_   _|           / ____|                   | |    
 | (___  _ _ __      /  \  | |__) || |    ______  | (___   ___  __ _ _ __ ___| |__  
  \___ \| | '_ \    / /\ \ |  ___/ | |   |______|  \___ \ / _ \/ _` | '__/ __| '_ \ 
  ____) | | | | |  / ____ \| |    _| |_            ____) |  __/ (_| | | | (__| | | |
 |_____/|_|_| |_| /_/    \_\_|   |_____|          |_____/ \___|\__,_|_|  \___|_| |_|
                                                                       
11:54:41 SIN api client starting - searching documents from "https://doc-server-qa.saphety.com/Doc.WebApi.Services"
11:54:41 SIN api client starting - logging set to "C:\git\trade-sin-comm-apis\log"
Number of documents: "15"
11849656,2023-11-23 16:15:22,2023-11-23 00:00:00,PT,503584320,"ZON LUSOMUNDO CINEMAS, S.A.",PT,502604751,"NOS COMUNICAÇÕES, S.A.",930000011,INVOICE,DOCSTS_RECEIVED,DOCSTS_RECEIVED,0.01,0.0,0.01
11848602,2023-11-22 14:58:18,2023-11-22 00:00:00,PT,503584320,"ZON LUSOMUNDO CINEMAS, S.A.",PT,502604751,"NOS COMUNICAÇÕES, S.A.",930000010,INVOICE,DOCSTS_RECEIVED,DOCSTS_RECEIVED,0.01,0.0,0.01
11848512,2023-11-22 13:55:22,2023-11-22 00:00:00,PT,503584320,"ZON LUSOMUNDO CINEMAS, S.A.",PT,502604751,"NOS COMUNICAÇÕES, S.A.",930000008,INVOICE,DOCSTS_RECEIVED,DOCSTS_ACK,0.01,0.0,0.01
11848507,2023-11-22 13:47:13,2023-11-22 00:00:00,PT,503584320,"ZON LUSOMUNDO CINEMAS, S.A.",PT,502604751,"NOS COMUNICAÇÕES, S.A.",930000007,INVOICE,DOCSTS_RECEIVED,DOCSTS_ACK,0.01,0.0,0.01
11848503,2023-11-22 13:30:18,2023-11-22 00:00:00,PT,503584320,"ZON LUSOMUNDO CINEMAS, S.A.",PT,502604751,"NOS COMUNICAÇÕES, S.A.",930000006,INVOICE,DOCSTS_RECEIVED,DOCSTS_ACK,0.01,0.0,0.01
11848490,2023-11-22 13:20:25,2023-11-22 00:00:00,PT,503584320,"ZON LUSOMUNDO CINEMAS, S.A.",PT,502604751,"NOS COMUNICAÇÕES, S.A.",930000005,INVOICE,DOCSTS_RECEIVED,DOCSTS_ACK,0.01,0.0,0.01
11846994,2023-11-17 16:21:20,2022-04-20 00:00:00,PT,502604751,"NOS COMUNICAÇÕES, S.A.",PT,501810285,ECI - Grandes Armazéns - Portugal,970028662,INVOICE,DOCSTS_ACK,DOCSTS_ACK,38.54,8.86,47.4
11846301,2023-11-16 13:03:22,2023-09-07 00:00:00,PT,502604751,"NOS COMUNICAÇÕES, S.A.",PT,501617582,UNIVERSIDADE DE COIMBRA,FT202313/340608,INVOICE,DOCSTS_SENT,DOCSTS_SENT,3.0,0.69,3.69
11846279,2023-11-16 12:51:36,2023-09-07 00:00:00,PT,502604751,"NOS COMUNICAÇÕES, S.A.",PT,501617582,UNIVERSIDADE DE COIMBRA,FT202313/340608,INVOICE,DOCSTS_SENT,DOCSTS_SENT,3.0,0.69,3.69
11844671,2023-11-15 11:08:13,2023-11-15 00:00:00,PT,503584320,"ZON LUSOMUNDO CINEMAS, S.A.",PT,502604751,"NOS COMUNICAÇÕES, S.A.",93550001,DEBIT_NOTE,DOCSTS_RECEIVED,DOCSTS_ACK,0.01,0.0,0.01
11844669,2023-11-15 11:06:21,2023-11-15 00:00:00,PT,503584320,"ZON LUSOMUNDO CINEMAS, S.A.",PT,502604751,"NOS COMUNICAÇÕES, S.A.",93400001,CREDIT_NOTE,DOCSTS_RECEIVED,DOCSTS_RECEIVED,0.01,0.0,0.01
11844644,2023-11-15 10:43:18,2023-11-15 00:00:00,PT,503584320,"ZON LUSOMUNDO CINEMAS, S.A.",PT,502604751,"NOS COMUNICAÇÕES, S.A.",930000004,INVOICE,DOCSTS_SENT,DOCSTS_ACK,0.01,0.0,0.01
11844642,2023-11-15 10:43:15,2023-11-15 00:00:00,PT,503584320,"ZON LUSOMUNDO CINEMAS, S.A.",PT,502604751,"NOS COMUNICAÇÕES, S.A.",930000003,INVOICE,DOCSTS_SENT,DOCSTS_ACK,0.01,0.0,0.01
11844635,2023-11-15 10:35:30,2023-11-15 00:00:00,PT,503584320,"ZON LUSOMUNDO CINEMAS, S.A.",PT,502604751,"NOS COMUNICAÇÕES, S.A.",930000001,INVOICE,DOCSTS_SENT,DOCSTS_ACK,0.01,0.0,0.01
11844633,2023-11-15 10:35:26,2023-11-15 00:00:00,PT,503584320,"ZON LUSOMUNDO CINEMAS, S.A.",PT,502604751,"NOS COMUNICAÇÕES, S.A.",930000002,INVOICE,DOCSTS_SENT,DOCSTS_ACK,0.01,0.0,0.01

11:54:46 SIN api client ending 
